"key";"message"
"Messaging";"Сообщения"
"Inbox";"Сообщения"
"Important";"Важные"
"Archived";"Архив"
"Mailing lists";"Списки рассылки"
"My Mailing lists";"Мои списки рассылки"
"All Mailing lists";"Все списки рассылки"
"Teamwork";"Командная работа"
"Teams";"Команды"
"My teams";"Мои команды"
"All teams";"Все команды"
"Shared with me";"Поделились со мной"
"Unit conversions";"Преобразование единиц измерения"
"My tasks";"Мои задачи"
"New";"Новая"
"In Progress";"В процессе"
"No results found";"Результаты не найдены"
"Role";"Роль"
"Search...";"Поиск..."
"Authorized roles";"Авторизованные роли"
"Create...";"Создать..."
"My events";"Мои события"
"Month";"Месяц"
"Week";"Неделя"
"Day";"День"
"Refresh";"Обновить"
"My CRM events";"Мои события CRM"
"My calendars";"Мои календари"
"calendar.owner";"Владелец календаря"
"Events";"События"
"Connection settings";"Настройки подключения"
"Sharing settings";"Настройки совместного доступа"
"Rights";"Права"
"Advanced synchronization";"Расширенная синхронизация"
"Synchronization duration (week)";"Продолжительность синхронизации (недели)"
"Keep remote";"Сохранить удаленно"
"Login";"Логин"
"Password";"Пароль"
"new password";"Новый пароль"
"Confirm";"Подтвердить"
"confirm password";"Подтверждение пароля"
"Not valid";"Недействительно"
"Connect";"Подключиться"
"calendar.owner";"Владелец календаря"
"Visible";"Видимый"
"Documents";"Документы"
"Document";"Документ"
"All Documents";"Все документы"
"My Documents";"Мои документы"
"File name";"Имя файла"
"Last modified";"Последнее изменение"
"Size";"Размер"
"Style";"Стиль"
"Change password";"Сменить пароль"
"Last password update date";"Дата последнего обновления пароля"
"Change password";"Сменить пароль"
"Time sheet";"Табель"
"Duration";"Длительность"
"Duration adjust for customer";"Корректировка длительности для клиента"
"Allow updates via editor";"Разрешить обновления через редактор"
"Comments";"Комментарии"
"Done";"Завершено"
"Canceled";"Отменено"
"Done paid";"Завершено, оплачено"
"To date";"Дата окончания"
"No records found.";"Записей не найдено."
"Project task";"Проектная задача"
"Planned time";"Плановое время"
"In progress";"Выполняется"
"and";"и"
"or";"или"
"Show archived";"Показать в архиве"
"Add filter";"Добавить фильтр"
"Clear";"Очистить"
"Apply";"Применить"
"Delete";"Удалить"
"Duplicate";"Дублировать"
"Studio";"Студия"
"Export";"Экспорт"
"Export full";"Экспортировать полностью"
"Inbox is empty!";"Почта пуста!"
"Come back later. There are no messages in this folder...";"Вернитесь позже. В этой папке нет сообщений..."
"No important messages!";"Нет важных сообщений"
"No archived messages!";"Нет сохраненных сообщений"
"Change password";"Поменять пароль"
"Password";"Пароль"
"Last password update date";"Дата последнего обновления пароля"
"Save filter as";"Сохранить фильтр как"
"Share";"Делиться"
"File upload";"Загрузка файла"
"Testing";"Тестирование"
"Messages","Сообщения"
"Tasks due";"Срок выполнения задач"
"Tasks todo";"Задачи"
"Home page";"Домашняя страница"
"Shortcuts";"Ярлыки"
"About";"О нас"
"Log out";"Выход"
"User preferences";"Пользовательские настройки"
"Localization";"Локализация"
"Active company";"Действующая компания"
"Single tab";"Вкладка"
"Change password?";"Сменить пароль?"
"Email";"Почта"
"Theme";"Тема"
"No help";"Помощь не нужна"
"Main calendar";"Основной календарь"
"Followed users";"Подписанные пользователи"
"Receive notifications by email";"Получать уведомления по электронной почте"
"Entities you wish to follow by email";"Объекты, на которых вы хотите подписаться по электронной почте"
"Light";"Светлый"
"Dark";"Темный"
"Auto";"Автоматически"
"End day";"Дата окончания"
"All day";"Весь день"
"Readable spent time";"Потрачено часов"
"Description";"Описание"
"Today";"Сегодня"
"Parent task";"Родительская задача"
